"axe";"indicateur";"metrique";"valeur_actuelle";"unite";"source";"statut_matrice";"preuve_calculee";"commentaire"
"5. Documentation, IA et reproductibilite";"Une synthese recruteur/client est produite.";"Documents de synthese disponibles";"2";"documents";"racine projet";"A faire";"oui";""
"5. Documentation, IA et reproductibilite";"Une synthese recruteur/client est produite.";"Recommandations phase 2";"4";"recommandations";"output/phase2_rapport.md";"A faire";"oui";""
"Metriques P6 observees";"Analyse stock, ventes, prix et qualite des donnees Bottleneck.";"Prix minimum";"-20.0";"EUR";"output/phase2_rapport.md";"A faire";"oui";""
"Metriques P6 observees";"Analyse stock, ventes, prix et qualite des donnees Bottleneck.";"Prix maximum";"225.0";"EUR";"output/phase2_rapport.md";"A faire";"oui";""
"Metriques P6 observees";"Analyse stock, ventes, prix et qualite des donnees Bottleneck.";"Prix moyen";"32.19";"EUR";"output/phase2_rapport.md";"A faire";"oui";""
"Metriques P6 observees";"Analyse stock, ventes, prix et qualite des donnees Bottleneck.";"Articles en rupture";"90.0";"articles";"output/phase2_rapport.md";"A faire";"oui";""
"Metriques P6 observees";"Analyse stock, ventes, prix et qualite des donnees Bottleneck.";"Marge moyenne";"47.7";"pourcentage";"output/phase2_rapport.md";"A faire";"oui";""
"Metriques P6 observees";"Analyse stock, ventes, prix et qualite des donnees Bottleneck.";"Produits avec CA calcule";"825";"produits";"output/revenue_per_product.csv";"A faire";"oui";""
"Metriques P6 observees";"Analyse stock, ventes, prix et qualite des donnees Bottleneck.";"Colonnes du fichier CA";"4";"colonnes";"output/revenue_per_product.csv";"A faire";"oui";""
"Metriques P6 observees";"Analyse stock, ventes, prix et qualite des donnees Bottleneck.";"Produits necessaires pour 80% du CA";"4";"produits";"output/pareto_revenue.csv";"A faire";"oui";""
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Cellules totales - avant";"148";"cellules";"P6_initial/notebook P6/Template-Notebook-Bottleneck.ipynb";"En cours";"oui";"Baseline avant checklist."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Cellules totales - apres initialise";"148";"cellules";"P6_ameliore_IA/notebooks/bottleneck_analyse_amelioree.ipynb";"En cours";"oui";"Copie de travail non encore corrigee, ecart 0."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Cellules de code - avant";"105";"cellules";"P6_initial/notebook P6/Template-Notebook-Bottleneck.ipynb";"En cours";"oui";"Baseline avant checklist."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Cellules de code - apres initialise";"105";"cellules";"P6_ameliore_IA/notebooks/bottleneck_analyse_amelioree.ipynb";"En cours";"oui";"Aucune reduction mesuree a ce stade."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Cellules markdown - avant";"43";"cellules";"P6_initial/notebook P6/Template-Notebook-Bottleneck.ipynb";"En cours";"oui";"Baseline avant checklist."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Cellules markdown - apres initialise";"43";"cellules";"P6_ameliore_IA/notebooks/bottleneck_analyse_amelioree.ipynb";"En cours";"oui";"Narration non encore retravaillee."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Cellules avec sorties - avant";"99";"cellules";"P6_initial/notebook P6/Template-Notebook-Bottleneck.ipynb";"En cours";"oui";"Sorties conservees nombreuses."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Cellules avec sorties - apres initialise";"99";"cellules";"P6_ameliore_IA/notebooks/bottleneck_analyse_amelioree.ipynb";"En cours";"oui";"Nettoyage des sorties a faire."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Cellules avec erreur - avant";"1";"cellule";"P6_initial/notebook P6/Template-Notebook-Bottleneck.ipynb";"En cours";"oui";"Erreur ou stderr stockee."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Cellules avec erreur - apres initialise";"1";"cellule";"P6_ameliore_IA/notebooks/bottleneck_analyse_amelioree.ipynb";"En cours";"oui";"Erreur encore presente avant correction."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Mentions chemins locaux - avant";"0";"mentions";"P6_initial/notebook P6/Template-Notebook-Bottleneck.ipynb";"En cours";"oui";"Aucun chemin local detecte par regex."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Mentions chemins locaux - apres initialise";"0";"mentions";"P6_ameliore_IA/notebooks/bottleneck_analyse_amelioree.ipynb";"En cours";"oui";"Aucun chemin local detecte par regex."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Hash fichier - avant";"FC21246AAEB9";"hash";"P6_initial/notebook P6/Template-Notebook-Bottleneck.ipynb";"En cours";"oui";"Hash SHA256 tronque."
"Comparaison avant/apres notebook";"Etat structurel du notebook avant refactoring.";"Hash fichier - apres initialise";"FC21246AAEB9";"hash";"P6_ameliore_IA/notebooks/bottleneck_analyse_amelioree.ipynb";"En cours";"oui";"Hash identique, confirme une copie non encore corrigee."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Controles qualite total";"18";"controles";"notebooks/bottleneck_analyse_ameliore_final.ipynb + src/quality_checks.py";"Realise";"oui";"Rapport quality_report execute dans le notebook refactore."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Controles OK";"11";"controles";"src/quality_checks.py";"Realise";"oui";"Statut OK dans quality_report."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Controles a verifier";"4";"controles";"src/quality_checks.py";"En cours";"oui";"WEB doublons, unicite sku, LIAISON unicite id_web, prix nuls ou negatifs ERP."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Controles a documenter";"2";"controles";"src/quality_checks.py";"En cours";"oui";"Valeurs manquantes WEB et LIAISON a documenter."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Controles a corriger";"1";"controles";"src/quality_checks.py";"En cours";"oui";"Stocks negatifs ERP corriges ensuite dans M05."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Valeurs manquantes WEB";"10025";"valeurs";"quality_report";"En cours";"oui";"A documenter avant interpretation."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Lignes dupliquees WEB";"82";"lignes";"quality_report";"En cours";"oui";"A verifier avant fusion."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Doublons cle sku WEB";"798";"cles";"quality_report";"En cours";"oui";"A analyser car web contient plusieurs lignes par sku ou donnees non nettoyees."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Valeurs manquantes LIAISON";"91";"valeurs";"quality_report";"En cours";"oui";"Correspondances web absentes a documenter."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Doublons cle id_web LIAISON";"90";"cles";"quality_report";"En cours";"oui";"A verifier, souvent lie aux id_web manquants."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Stocks negatifs ERP";"2";"lignes";"quality_report";"Corrige ensuite";"oui";"Corriges dans M05 en ramenant les stocks negatifs a 0."
"Controle qualite sources M04";"Controle qualite transversal ERP WEB LIAISON";"Prix nuls ou negatifs ERP";"3";"lignes";"quality_report";"A verifier";"oui";"A traiter dans une etape dediee, sans correction automatique immediate."
"Nettoyage stock ERP M05";"Correction stock ERP avec script reutilisable";"Incoherences stock_status avant correction";"2";"lignes";"src/stock_cleaning.py + bottleneck_analyse_ameliore_final.ipynb";"Realise";"oui";"Feature has_stock_status_gap, methode de sommation booleenne."
"Nettoyage stock ERP M05";"Correction stock ERP avec script reutilisable";"Stocks negatifs avant correction";"2";"lignes";"src/stock_cleaning.py + bottleneck_analyse_ameliore_final.ipynb";"Realise";"oui";"Feature is_negative_stock, methode de sommation booleenne."
"Nettoyage stock ERP M05";"Correction stock ERP avec script reutilisable";"Lignes a corriger";"4";"lignes";"src/stock_cleaning.py + bottleneck_analyse_ameliore_final.ipynb";"Realise";"oui";"Feature needs_stock_correction."
"Nettoyage stock ERP M05";"Correction stock ERP avec script reutilisable";"Stock_status modifies";"2";"lignes";"stock_validation_report";"Realise";"oui";"Statuts corriges selon stock_status_expected."
"Nettoyage stock ERP M05";"Correction stock ERP avec script reutilisable";"Stock_quantity modifies";"2";"lignes";"stock_validation_report";"Realise";"oui";"Stocks negatifs ramenes a 0."
"Nettoyage stock ERP M05";"Correction stock ERP avec script reutilisable";"Stocks negatifs restants";"0";"lignes";"stock_validation_report";"Realise";"oui";"Validation apres correction."
"Nettoyage stock ERP M05";"Correction stock ERP avec script reutilisable";"Ecarts stock_status restants";"0";"lignes";"stock_validation_report";"Realise";"oui";"Validation apres correction."
"Rapprochement ERP WEB LIAISON M06";"Construction dataset final";"Produits ERP initiaux";"825";"produits";"data_merging.py + bottleneck_analyse_ameliore_final.ipynb";"Realise";"oui";"Tous les produits ERP sont conserves dans la fusion finale."
"Rapprochement ERP WEB LIAISON M06";"Construction dataset final";"Lignes liaison";"825";"lignes";"data_merging.py";"Realise";"oui";"Table de liaison chargee."
"Rapprochement ERP WEB LIAISON M06";"Construction dataset final";"ERP sans product_id liaison";"0";"lignes";"merge_report";"Realise";"oui";"Aucune ligne ERP orpheline cote product_id."
"Rapprochement ERP WEB LIAISON M06";"Construction dataset final";"ERP sans id_web";"91";"lignes";"merge_report";"A documenter";"oui";"Produits ERP sans reference web dans la table de liaison."
"Rapprochement ERP WEB LIAISON M06";"Preparation donnees web";"Lignes web post_type product";"716";"lignes";"web_preparation_report";"Realise";"oui";"Filtrage des lignes web de type product."
"Rapprochement ERP WEB LIAISON M06";"Preparation donnees web";"Lignes web sans sku exclues";"2";"lignes";"web_preparation_report";"Realise";"oui";"Exclusion pour eviter des jointures artificielles sur cle manquante."
"Rapprochement ERP WEB LIAISON M06";"Preparation donnees web";"Lignes web produits retenues";"714";"lignes";"web_preparation_report";"Realise";"oui";"Produits web exploitables apres nettoyage de la cle."
"Rapprochement ERP WEB LIAISON M06";"Construction dataset final";"Lignes dataset final";"825";"lignes";"df_final";"Realise";"oui";"Dataset final conserve le perimetre ERP."
"Rapprochement ERP WEB LIAISON M06";"Construction dataset final";"Produits avec correspondance web";"714";"produits";"df_final.web_disponible";"Realise";"oui";"web_disponible = 1."
"Rapprochement ERP WEB LIAISON M06";"Construction dataset final";"Produits sans correspondance web active";"111";"produits";"df_final.web_disponible";"A documenter";"oui";"web_disponible = 0, a interpreter avant analyses CA."
"Rapprochement ERP WEB LIAISON M06";"Construction dataset final";"Produits web sans correspondance ERP";"0";"produits";"web_without_erp";"Realise";"oui";"Aucun produit web retenu ne reste sans correspondance ERP."
"EDA analyses metier M07";"EDA compacte et feature engineering metier";"Produits analyses";"825";"produits";"eda_overview";"Realise";"oui";"Perimetre df_final conserve."
"EDA analyses metier M07";"EDA compacte et feature engineering metier";"Colonnes disponibles apres features";"58";"colonnes";"eda_overview";"Realise";"oui";"Apres ajout ca_article, marge, taux, flags metier."
"EDA analyses metier M07";"EDA compacte et feature engineering metier";"Produits avec correspondance web";"714";"produits";"eda_overview";"Realise";"oui";"has_web_match = True."
"EDA analyses metier M07";"EDA compacte et feature engineering metier";"Produits sans correspondance web active";"111";"produits";"eda_overview";"A documenter";"oui";"A exclure ou annoter selon analyses CA."
"EDA analyses metier M07";"EDA compacte et feature engineering metier";"Produits avec ventes";"689";"produits";"eda_overview";"Realise";"oui";"total_sales_clean > 0."
"EDA analyses metier M07";"EDA compacte et feature engineering metier";"Articles en rupture ou stock nul";"92";"produits";"eda_overview";"Realise";"oui";"stock_quantity <= 0 apres correction stock."
"EDA analyses metier M07";"EDA compacte et feature engineering metier";"Prix nuls ou negatifs";"3";"produits";"eda_overview";"A verifier";"oui";"A traiter dans une etape dediee."
"EDA analyses metier M07";"EDA compacte et feature engineering metier";"Marges negatives";"7";"produits";"eda_overview";"A verifier";"oui";"A analyser avant recommandations."
"EDA analyses metier M07";"EDA compacte et feature engineering metier";"Chiffre affaires total";"143680.1";"EUR";"eda_overview";"Realise";"oui";"Somme ca_article = price * total_sales_clean."
"EDA analyses metier M07";"EDA compacte et feature engineering metier";"CA categorie Vin";"123518.0";"EUR";"category_summary";"Realise";"oui";"Categorie principale par CA."
